Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Mbps (Media de bajada),Total
2023,3,Corrientes,13.9,52.78,67.0,2985.0,20810.0,20906.0,5494.0,4577.0,97014.0,7976.0,159826,3.0,24253.0,83897.0,36032.0,10407.0,5240.0,99.64,159829.0
2023,3,Entre Ríos,20.58,68.84,107.0,4510.0,38962.0,49979.0,20312.0,22941.0,156482.0,0.0,293273,20.0,45384.0,157464.0,54794.0,24481.0,11170.0,96.26,293293.0
2023,3,Formosa,9.89,38.86,85.0,208.0,21919.0,11697.0,5045.0,274.0,21727.0,359.0,61314,0.0,11230.0,18053.0,14904.0,16899.0,228.0,80.29,61314.0
2023,3,Jujuy,14.73,57.61,58.0,1436.0,15685.0,11983.0,28956.0,288.0,56943.0,2028.0,117377,0.0,12627.0,51082.0,48350.0,4067.0,1251.0,44.55,117377.0
2023,3,La Pampa,32.62,99.0,71.0,1358.0,47914.0,18238.0,14676.0,4081.0,31970.0,1613.0,119759,162.0,6844.0,59063.0,32891.0,20014.0,1109.0,24.21,119921.0
2023,3,La Rioja,21.41,80.44,18.0,459.0,1617.0,1989.0,24847.0,4798.0,53973.0,0.0,87697,4.0,3726.0,55494.0,22054.0,6395.0,32.0,63.84,87701.0
2023,3,Mendoza,14.52,52.03,104.0,2948.0,36236.0,20942.0,30636.0,8032.0,193600.0,5524.0,297292,730.0,17677.0,73066.0,178719.0,27609.0,951.0,46.96,298022.0
2023,3,Misiones,15.12,55.51,51.0,3302.0,32953.0,22315.0,11900.0,3862.0,113860.0,8892.0,197135,0.0,27934.0,79087.0,70003.0,12928.0,7183.0,91.49,197135.0
2023,3,Neuquén,23.8,79.97,170.0,981.0,37758.0,13937.0,11582.0,2377.0,84209.0,13259.0,163834,439.0,24527.0,73329.0,39243.0,24085.0,3089.0,96.57,164273.0
2023,3,Río Negro,21.04,68.4,112.0,1061.0,29201.0,15014.0,21182.0,22752.0,59206.0,14957.0,162970,515.0,22422.0,50429.0,56668.0,16864.0,17102.0,70.93,163485.0
